sample_name,total_reads,nonhost_reads,total_ercc_reads,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_idseq_dedup,nucleotide_type,collection_date,collection_location,Host Species
RR034B_375_uaRa_S292,5136198,106654,2116076,88.544,2.56,2597666,2585790,2300088,897562,RNA,7/27/18,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_376_uaRa_S36,6005286,144542,4968892,80.496,2,850900,817522,684942,342074,RNA,7/27/18,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_377_uaRa_S58,23016730,3908376,6570138,87.553,2.78,9837340,9820134,8612888,3097482,RNA,7/27/18,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_378_uaRa_S34,3711360,65164,3135960,76.482,2.6,521354,505550,398740,153528,RNA,7/27/18,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_379_uaRa_S78,47115850,9254846,2808246,92.11,2.89,26606520,26545384,24507374,8485084,RNA,7/27/18,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_380_uaRa_S162,18921296,3100347,4946750,90.812,2.04,10929752,10919374,9925486,4866194,RNA,1/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_381_uaRa_S250,18065910,181266,15173784,74.528,2.68,2510782,2502262,1871234,698416,RNA,1/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_382_uaRa_S294,15755998,1240550,6141244,88.989,2.56,7269810,7257170,6469356,2528494,RNA,1/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_383_uaRa_S32,10119022,706860,7036650,83.448,2.59,2279590,2275086,1902266,733950,RNA,1/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_384_uaRa_S76,10980110,309484,6929660,85.022,2.59,3379996,3373604,2873740,1108370,RNA,1/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_385_uaRa_S117,21231358,829206,11394124,86.502,3.06,8353106,8345046,7225604,2357550,RNA,1/7/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_386_uaRa_S161,6182996,608944,4173670,85.322,2.68,1423990,1418990,1214972,453894,RNA,1/7/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_387_uaRa_S234,24955900,4914943,9461864,91.479,2.89,11246548,11220668,10288216,3560144,RNA,1/7/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_388_uaRa_S205,12170550,2011768,1680290,92.316,2.36,7676304,7664882,7086436,2998710,RNA,1/7/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_389_uaRa_S249,7843098,104514,2623110,92.406,2.67,4360654,4353018,4029502,1507110,RNA,1/7/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_390_uaRa_S116,13624492,227467,26540,94.414,2.55,11876090,11794920,11212672,4389428,RNA,3/14/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_391_uaRa_S293,20295254,803762,15260608,84.241,2.28,3942630,3917348,3321294,1459378,RNA,1/7/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_392_uaRa_S31,15355534,4491171,109854,95.051,1.87,8956068,8950590,8512840,4542886,RNA,1/7/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_393_uaRa_S204,16151594,4092698,282268,95.001,1.84,10631354,10626382,10099842,5475922,RNA,3/14/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_394_uaRa_S75,12162608,1851364,4129132,91.491,2.13,5368934,5356828,4912078,2300842,RNA,2/5/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_395_uaRa_S248,5584218,346492,301044,92.59,1.8,4572454,4568832,4233620,2354152,RNA,3/14/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_396_uaRa_S24,5828774,192796,4763512,80.315,2.2,954044,949672,766244,347640,RNA,2/5/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_397_uaRa_S70,1107690,149730,274668,93.706,1.29,661654,656982,620008,482460,RNA,3/14/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_398_uaRa_S114,16974994,184653,250804,94.194,2.68,14472238,14465948,13631916,5084374,RNA,3/14/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_399_uaRa_S158,18445126,918034,3168436,89.554,2.54,11862542,11855060,10623440,4181010,RNA,3/14/19,"AngavoKely, Madagascar",Eidolon dupreanum
