sample_name,total_reads,nonhost_reads,total_ercc_reads,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_idseq_dedup,nucleotide_type,collection_date,collection_location,Host Species
RR034B_469_uaRa_S90,6605206,2294145,304096,94.759,1.44,4329026,4324886,4102152,2854828,RNA,1/4/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_470_uaRa_S178,6861316,322528,376,94.586,2.39,5813304,5725326,5498584,2304372,RNA,1/4/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_471_uaRa_S222,11854996,503130,4960262,90.869,2.32,5779452,5754420,5251754,2262778,RNA,1/5/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_472_uaRa_S62,16027272,2985140,1307472,90.905,2.2,9106846,9101068,8278564,3764790,RNA,1/8/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_474_uaRa_S136,18325268,1372091,596560,93.434,2.31,11808630,11804446,11033240,4775064,RNA,1/9/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_475_uaRa_S52,13469880,388927,948444,92.556,2.41,10212428,10207646,9452210,3926524,RNA,1/9/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_476_uaRa_S96,13417112,1303498,6977368,90.82,2.41,4394602,4386480,3991194,1659124,RNA,1/9/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_477_uaRa_S224,13066744,56810,423892,93.967,2.49,10693924,10678570,10048770,4040836,RNA,1/9/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_478_uaRa_S268,13160280,965384,9567156,85.985,2.31,2821510,2808862,2426086,1049750,RNA,1/31/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_479_uaRa_S6,8271800,296758,3908,94.931,2.52,7353830,7314526,6981068,2770284,RNA,1/31/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_480_uaRa_S50,14540294,3360045,615010,94.534,1.65,11695386,11691288,11056126,6713680,RNA,1/31/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_481_uaRa_S94,22122724,1989950,2895148,89.784,2.07,16688238,16661854,14983326,7227742,RNA,1/31/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_482_uaRa_S138,4852936,1115894,100926,93.987,1.36,4148894,4147480,3899414,2869912,RNA,2/1/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_483_uaRa_S182,17106120,1367841,1897150,90.922,2.09,12648944,12643166,11500694,5503554,RNA,2/1/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_484_uaRa_S180,9739132,143576,586,94.353,2.48,8108834,8039664,7650954,3084066,RNA,2/1/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_485_uaRa_S140,15538056,4871856,279304,93.77,1.53,8966828,8964678,8408210,5486590,RNA,2/1/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_486_uaRa_S184,7145258,82774,4808,93.46,2.26,6468878,6422464,6045794,2680748,RNA,2/1/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_487_uaRa_S228,8072442,1005774,109740,95.266,2,6457696,6455376,6151980,3069988,RNA,2/1/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_488_uaRa_S98,150000000,55237635,8048472,93.823,3.3,113399098,113351318,106394740,32228014,RNA,2/23/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_489_uaRa_S142,14461248,3047281,3508024,90.921,1.76,6471754,6467362,5884188,3345660,RNA,2/24/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_490_uaRa_S186,11991628,796624,5824616,89.339,2.67,4399100,4391778,3930130,1470750,RNA,2/24/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_491_uaRa_S230,7597102,206462,4768,94.536,2.4,6864312,6819654,6489262,2709330,RNA,2/24/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_492_uaRa_S56,14834628,72226,26412,92.603,2.49,13329498,13258322,12343462,4951292,RNA,2/24/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_493_uaRa_S144,3884014,190474,2728566,81.53,1.42,1013316,957908,826160,582760,RNA,4/9/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_494_uaRa_S188,9849492,245686,23706,93.554,1.95,8028006,8024476,7510522,3860634,RNA,4/9/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_495_uaRa_S232,20938026,2584428,8291270,89.199,2.8,9523578,9500686,8494954,3034870,RNA,4/9/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_496_uaRa_S276,150000000,2228013,3386792,92.427,3.33,128046458,127881000,118349078,35550808,RNA,4/9/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_497_uaRa_S291,22153958,4238166,437684,91.808,2.04,11316478,11310136,10389480,5091912,RNA,12/13/18,"Mahialambo, Madagascar",Pteropus rufus
RR034B_498_uaRa_S29,22368794,2190964,2284146,91.015,2.17,17186084,17172242,15641986,7215672,RNA,12/16/18,"Mahialambo, Madagascar",Pteropus rufus
