czb_barcode,czb_id,plate,supplier_sample_ID,sampleID,sample_type,site,capture_date,species,recap,previous_ID,sex,class,yoy,mom_baby_pair,mass_g,forearm_mm,age,luminex_titer_CEDF,luminex_titer_CEDG,luminex_titer_EBOV,luminex_titer_HEVF,luminex_titer_HEVG,luminex_titer_NIVF,luminex_titer_NIVG,luminex_titer_MARV,Babesia,Bartonella,extraction_date,notes
RR034B480,RR034B_480_uaRa,2,MIZ342_urine,MIZ342,urine,"Maromizaha, Madagascar",1/31/19,Rousettus madagascariensis,Y,,F,L,N,Y,60,69.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B481,RR034B_481_uaRa,2,MIZ345_urine,MIZ345,urine,"Maromizaha, Madagascar",1/31/19,Rousettus madagascariensis,N,,F,J,Y,Y,20,51.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/13/19,
RR034B482,RR034B_482_uaRa,2,MIZ351_urine,MIZ351,urine,"Maromizaha, Madagascar",2/1/19,Rousettus madagascariensis,N,,F,L,N,Y,55,65.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B483,RR034B_483_uaRa,2,MIZ352_urine,MIZ352,urine,"Maromizaha, Madagascar",2/1/19,Rousettus madagascariensis,N,,M,A,N,N,78,73.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B484,RR034B_484_uaRa,2,MIZ355_urine,MIZ355,urine,"Maromizaha, Madagascar",2/1/19,Rousettus madagascariensis,N,,F,NL,N,N,60,70.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B485,RR034B_485_uaRa,2,MIZ357_urine,MIZ357,urine,"Maromizaha, Madagascar",2/1/19,Rousettus madagascariensis,N,,M,A,N,N,75,74.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B486,RR034B_486_uaRa,2,MIZ359_urine,MIZ359,urine,"Maromizaha, Madagascar",2/1/19,Rousettus madagascariensis,N,,F,L,N,N,65,72.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B487,RR034B_487_uaRa,2,MIZ366_urine,MIZ366,urine,"Maromizaha, Madagascar",2/1/19,Rousettus madagascariensis,N,,F,NL,N,N,60,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B488,RR034B_488_uaRa,2,MIZ378_urine,MIZ378,urine,"Maromizaha, Madagascar",2/23/19,Rousettus madagascariensis,N,,F,J,N,N,50,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B489,RR034B_489_uaRa,2,MIZ392_urine,MIZ392,urine,"Maromizaha, Madagascar",2/24/19,Rousettus madagascariensis,N,,F,J,Y,N,40,68.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B490,RR034B_490_uaRa,2,MIZ396_urine,MIZ396,urine,"Maromizaha, Madagascar",2/24/19,Rousettus madagascariensis,N,,M,A,N,N,70,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B491,RR034B_491_uaRa,2,MIZ400_urine,MIZ400,urine,"Maromizaha, Madagascar",2/24/19,Rousettus madagascariensis,N,,F,NL ,N,Y,50,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B492,RR034B_492_uaRa,2,MIZ401_urine,MIZ401,urine,"Maromizaha, Madagascar",2/24/19,Rousettus madagascariensis,N,,M,J,Y,N,30,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B493,RR034B_493_uaRa,2,MIZ403_urine,MIZ403,urine,"Maromizaha, Madagascar",4/9/19,Rousettus madagascariensis,N,,M,A,,N,75,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B494,RR034B_494_uaRa,2,MIZ405_urine,MIZ405,urine,"Maromizaha, Madagascar",4/9/19,Rousettus madagascariensis,N,,M,A,,N,70,68.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B495,RR034B_495_uaRa,2,MIZ407_urine,MIZ407,urine,"Maromizaha, Madagascar",4/9/19,Rousettus madagascariensis,N,,M,A,,N,60,68.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B496,RR034B_496_uaRa,2,MIZ408_urine,MIZ408,urine,"Maromizaha, Madagascar",4/9/19,Rousettus madagascariensis,N,,M,A,,N,75,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B497,RR034B_497_uaRa,2,MLB001_urine,MLB001,urine,"Mahialambo, Madagascar",12/13/18,Pteropus rufus,N,,F,L,N,Y,660,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1/22/19,
RR034B498,RR034B_498_uaRa,2,MLB004_urine,MLB004,urine,"Mahialambo, Madagascar",12/16/18,Pteropus rufus,N,,F,NL,Y - last year,N,480,151.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1/22/19,
RR034B499,RR034B_499_uaRa,2,MLB005_urine,MLB005,urine,"Mahialambo, Madagascar",12/17/18,Pteropus rufus,N,,M,A,N,N,740,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1/22/19,
RR034B500,RR034B_500_uaRa,2,MLB006_urine,MLB006,urine,"Mahialambo, Madagascar",12/18/18,Pteropus rufus,N,,F,L,N,Y,500,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1/22/19,
RR034B501,RR034B_501_uaRa,2,MLB009_urine,MLB009,urine,"Mahialambo, Madagascar",12/18/18,Pteropus rufus,N,,M,A,N,N,625,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1/22/19,
RR034B502,RR034B_502_uaRa,2,KEL259_urine,KEL259,urine,"AngavoKely, Madagascar",1/6/19,Eidolon dupreanum,,,F,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,need to find paper data in US
RR034B503,RR034B_503_uaRa,2,KEL265_urine,KEL265,urine,"AngavoKely, Madagascar",1/6/19,Eidolon dupreanum,,,F,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,need to find paper data in US
RR034B504,RR034B_504_uaRa,2,AMB159_urine-1,AMB159,urine-1,"Ambakoana, Madagascar",1/6/19,Pteropus rufus,N,,F,A,N,N,560,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B505,RR034B_505_uaRa,2,KEL159_urine-1,KEL159,urine-1,"AngavoKely, Madagascar",2/15/18,Eidolon dupreanum,N,,M,J,Y,N,275,122.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B506,RR034B_506_uaRa,2,KEL234_urine-1,KEL234,urine-1,"AngavoKely, Madagascar",7/27/18,Eidolon dupreanum,N,,M,A,N,N,270,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B507,RR034B_507_uaRa,2,MAH10_urine-1,MAH10,urine-1,"Mahabo, Madagascar",7/16/14,Pteropus rufus,,,M,A,,,590,170,1.791780822,13.5,10.5,35.75,11,14.75,11.5,9,15,0,NA,5/12/19,
RR034B508,RR034B_508_uaRa,2,MIZ275_urine-1,MIZ275,urine-1,"Maromizaha, Madagascar",12/22/18,Rousettus madagascariensis,N,,F,P,N,N,62,73.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/14/19,
RR034B509,RR034B_509_uaRa,2,MIZ281_urine-1,MIZ281,urine-1,"Maromizaha, Madagascar",1/3/19,Rousettus madagascariensis,N,,M,A,Y - last year,N,55,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/13/19,
RR034B510,RR034B_510_uaRa,2,MIZ291_urine-1,MIZ291,urine-1,"Maromizaha, Madagascar",1/4/19,Rousettus madagascariensis,N,,F,NL,Y - last year,N,52,71.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/13/19,
RR034B511,RR034B_511_uaRa,2,MIZ298_urine-1,MIZ298,urine-1,"Maromizaha, Madagascar",1/5/19,Rousettus madagascariensis,N,,F,NL,N,N,62,67.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/13/19,
RR034B512,RR034B_512_uaRa,2,MIZ300_urine-1,MIZ300,urine-1,"Maromizaha, Madagascar",1/6/19,Rousettus madagascariensis,N,,F,L,N,Y,53,68.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B513,RR034B_513_uaRa,2,MIZ305_urine-1,MIZ305,urine-1,"Maromizaha, Madagascar",1/8/19,Rousettus madagascariensis,N,,F,L,N,Y,78,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B514,RR034B_514_uaRa,2,MIZ305_urine-1,MIZ305,urine-1,"Maromizaha, Madagascar",1/6/19,Rousettus madagascariensis,N,,M,J,Y,Y,14,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B515,RR034B_515_uaRa,2,MIZ181_urine-2,MIZ181,urine-2,"Maromizaha, Madagascar",4/14/18,Rousettus madagascariensis,NA,,M,A,N,N,60,67.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B516,RR034B_516_uaRa,2,MIZ275_urine-2,MIZ275,urine-2,"Maromizaha, Madagascar",12/22/18,Rousettus madagascariensis,N,,F,P,N,N,62,73.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/14/19,
RR034B517,RR034B_517_uaRa,2,MIZ298_urine-2,MIZ298,urine-2,"Maromizaha, Madagascar",1/5/19,Rousettus madagascariensis,N,,F,NL,N,N,62,67.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/13/19,
RR034B518,RR034B_518_uaRa,2,MIZ300_urine-2,MIZ300,urine-2,"Maromizaha, Madagascar",1/6/19,Rousettus madagascariensis,N,,F,L,N,Y,53,68.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
