sampleid,czb_id,sample_type,henipavirus,roost_site,latitude_s,longitude_e,collection_date,bat_species,bat_sex,unique_tag_id,recap,bat_age_class,notes
ANGB141,RR034B_326_uaRa,urine,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,female,1057,no,NL,
ANGB142,RR034B_327_uaRa,urine,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,male,1056,no,A,
ANGB155,RR034B_328_uaRa,urine,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,female,963,no,NL,
ANGB158,RR034B_329_uaRa,urine,0,AngavoBe,-18.944,47.9491,9/9/18,Eidolon dupreanum,female,1023,no,P,
ANGB161,RR034B_330_uaRa,urine,0,AngavoBe,-18.944,47.9491,9/9/18,Eidolon dupreanum,male,1020,yes,A,
KEL140,RR034B_331_uaRa,urine,0,AngavoKely,-18.9327,47.7578,1/10/16,Eidolon dupreanum,male,944,NA,A,
KEL141,RR034B_332_uaRa,urine,0,AngavoKely,-18.9327,47.7578,1/10/16,Eidolon dupreanum,female,945,NA,NL,
KEL149,RR034B_333_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1094,no,NL,
KEL153,RR034B_334_uaRa,urine,1,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1089,no,NL,
KEL154,RR034B_335_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1088,no,NL,
KEL156,RR034B_336_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,male,1086_969,yes,A,
KEL157,RR034B_337_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1085,no,NL,
KEL161,RR034B_338_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,male,1081,no,A,
KEL163,RR034B_339_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1079,no,NL,
KEL164,RR034B_340_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1078,no,J,
KEL165,RR034B_341_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1077,no,NL,
KEL166,RR034B_342_uaRa,urine,1,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1075,no,J,young of the year
KEL168,RR034B_343_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1073,no,NL,
KEL169,RR034B_344_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,male,1072,no,J,
KEL170,RR034B_345_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1070,no,NL,
KEL171,RR034B_346_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,male,1071,no,J,
KEL173,RR034B_347_uaRa,urine,1,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,,no,NL,
KEL177,RR034B_348_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/16/18,Eidolon dupreanum,female,1066,no,NL,
KEL178,RR034B_349_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/16/18,Eidolon dupreanum,female,1065,no,NL,
KEL182,RR034B_350_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/9/18,Eidolon dupreanum,female,1053,no,NL,
KEL183,RR034B_351_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/9/18,Eidolon dupreanum,female,1051,no,NL,
KEL184,RR034B_352_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/9/18,Eidolon dupreanum,female,1050,no,NL,
KEL186,RR034B_353_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1048,no,NL,
KEL187,RR034B_354_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1047,yes,NL,
KEL192,RR034B_355_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1043,no,NL,
KEL193,RR034B_356_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1042,no,J,
KEL194,RR034B_357_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1041,no,NL,
KEL196,RR034B_358_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1040,no,NL,
KEL197,RR034B_359_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1039,no,NL,
KEL200,RR034B_360_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1036,no,NL,
KEL202,RR034B_361_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1034,no,NL,
