sampleid,czb_id,sample_type,henipavirus,roost_site,latitude_s,longitude_e,collection_date,bat_species,bat_sex,unique_tag_id,recap,bat_age_class,notes
KEL234,RR034B_506_uaRa,urine,1,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,985,no,A,
MAH10,RR034B_507_uaRa,urine,0,Mahabo,-20.4643,44.6822,7/16/14,Pteropus rufus,male,419,NA,A,
MIZ275,RR034B_508_uaRa,urine,0,Maromizaha,-18.9623,48.4525,12/22/18,Rousettus madagascariensis,female,M109,no,P,
MIZ291,RR034B_510_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/4/19,Rousettus madagascariensis,female,M120,no,NL,
MIZ298,RR034B_511_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/5/19,Rousettus madagascariensis,female,M126,no,NL,
MIZ300,RR034B_512_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/6/19,Rousettus madagascariensis,female,M128,no,L,
MIZ305,RR034B_472_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/6/19,Rousettus madagascariensis,female,M131,no,L,this could be switched with other MIZ305
MIZ305,RR034B_513_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/8/19,Rousettus madagascariensis,male,M131,no,J,this could be switched with other MIZ305
MIZ181,RR034B_515_uaRa,,0,Maromizaha,-18.9623,48.4525,4/14/18,Rousettus madagascariensis,male,NA,no,A,
MIZ275,RR034B_516_uaRa,,0,Maromizaha,-18.9623,48.4525,12/22/18,Rousettus madagascariensis,female,M109,no,P,
MIZ298,RR034B_517_uaRa,,0,Maromizaha,-18.9623,48.4525,1/5/19,Rousettus madagascariensis,female,M126,no,NL,
MIZ300,RR034B_518_uaRa,,0,Maromizaha,-18.9623,48.4525,1/6/19,Rousettus madagascariensis,female,M128,no,L,
